"일시 실행 1","시간 (s) 실행 1","전압 (mV) 실행 1","pH 실행 1"
2026/08/25 14:13:12,0.000,102.0,15.19
2026/08/25 14:13:12,0.020,103.0,15.27
2026/08/25 14:13:12,0.040,102.0,15.19
2026/08/25 14:13:12,0.060,102.0,15.19
2026/08/25 14:13:12,0.080,103.0,15.27
2026/08/25 14:13:12,0.100,102.0,15.19
2026/08/25 14:13:12,0.120,103.0,15.27
2026/08/25 14:13:12,0.140,103.0,15.27
2026/08/25 14:13:12,0.160,102.0,15.19
2026/08/25 14:13:12,0.180,103.0,15.27
2026/08/25 14:13:12,0.200,102.0,15.19
2026/08/25 14:13:12,0.220,102.0,15.19
2026/08/25 14:13:12,0.240,103.0,15.27
2026/08/25 14:13:12,0.260,102.0,15.19
2026/08/25 14:13:12,0.280,103.0,15.27
2026/08/25 14:13:12,0.300,102.0,15.19
2026/08/25 14:13:12,0.320,102.0,15.19
2026/08/25 14:13:12,0.340,102.0,15.19
2026/08/25 14:13:12,0.360,102.0,15.19
2026/08/25 14:13:12,0.380,102.0,15.19
2026/08/25 14:13:12,0.400,102.0,15.19
2026/08/25 14:13:12,0.420,102.0,15.19
2026/08/25 14:13:12,0.440,102.0,15.19
2026/08/25 14:13:12,0.460,102.0,15.19
2026/08/25 14:13:12,0.480,101.0,15.11
2026/08/25 14:13:12,0.500,102.0,15.19
2026/08/25 14:13:12,0.520,102.0,15.19
2026/08/25 14:13:12,0.540,102.0,15.19
2026/08/25 14:13:12,0.560,103.0,15.27
2026/08/25 14:13:12,0.580,103.0,15.27
2026/08/25 14:13:12,0.600,103.0,15.27
2026/08/25 14:13:12,0.620,102.0,15.19
2026/08/25 14:13:12,0.640,102.0,15.19
2026/08/25 14:13:12,0.660,103.0,15.27
2026/08/25 14:13:12,0.680,102.0,15.19
2026/08/25 14:13:12,0.700,102.0,15.19
2026/08/25 14:13:12,0.720,103.0,15.27
2026/08/25 14:13:12,0.740,101.0,15.11
2026/08/25 14:13:12,0.760,102.0,15.19
2026/08/25 14:13:12,0.780,102.0,15.19
2026/08/25 14:13:12,0.800,102.0,15.19
2026/08/25 14:13:12,0.820,103.0,15.27
2026/08/25 14:13:12,0.840,102.0,15.19
2026/08/25 14:13:12,0.860,103.0,15.27
2026/08/25 14:13:12,0.880,102.0,15.19
2026/08/25 14:13:12,0.900,102.0,15.19
2026/08/25 14:13:12,0.920,102.0,15.19
2026/08/25 14:13:12,0.940,102.0,15.19
2026/08/25 14:13:12,0.960,102.0,15.19
2026/08/25 14:13:12,0.980,102.0,15.19
2026/08/25 14:13:13,1.000,102.0,15.19
2026/08/25 14:13:13,1.020,102.0,15.19
2026/08/25 14:13:13,1.040,102.0,15.19
2026/08/25 14:13:13,1.060,102.0,15.19
2026/08/25 14:13:13,1.080,103.0,15.27
2026/08/25 14:13:13,1.100,102.0,15.19
2026/08/25 14:13:13,1.120,102.0,15.19
2026/08/25 14:13:13,1.140,102.0,15.19
2026/08/25 14:13:13,1.160,102.0,15.19
2026/08/25 14:13:13,1.180,101.0,15.11
2026/08/25 14:13:13,1.200,103.0,15.27
2026/08/25 14:13:13,1.220,102.0,15.19
2026/08/25 14:13:13,1.240,101.0,15.11
2026/08/25 14:13:13,1.260,102.0,15.19
2026/08/25 14:13:13,1.280,102.0,15.19
2026/08/25 14:13:13,1.300,101.0,15.11
2026/08/25 14:13:13,1.320,102.0,15.19
2026/08/25 14:13:13,1.340,103.0,15.27
2026/08/25 14:13:13,1.360,102.0,15.19
2026/08/25 14:13:13,1.380,102.0,15.19
2026/08/25 14:13:13,1.400,102.0,15.19
2026/08/25 14:13:13,1.420,102.0,15.19
2026/08/25 14:13:13,1.440,102.0,15.19
2026/08/25 14:13:13,1.460,102.0,15.19
2026/08/25 14:13:13,1.480,103.0,15.27
2026/08/25 14:13:13,1.500,103.0,15.27
2026/08/25 14:13:13,1.520,101.0,15.11
2026/08/25 14:13:13,1.540,102.0,15.19
2026/08/25 14:13:13,1.560,103.0,15.27
2026/08/25 14:13:13,1.580,102.0,15.19
2026/08/25 14:13:13,1.600,102.0,15.19
2026/08/25 14:13:13,1.620,102.0,15.19
2026/08/25 14:13:13,1.640,102.0,15.19
2026/08/25 14:13:13,1.660,102.0,15.19
2026/08/25 14:13:13,1.680,102.0,15.19
2026/08/25 14:13:13,1.700,102.0,15.19
2026/08/25 14:13:13,1.720,102.0,15.19
2026/08/25 14:13:13,1.740,102.0,15.19
2026/08/25 14:13:13,1.760,102.0,15.19
2026/08/25 14:13:13,1.780,102.0,15.19
2026/08/25 14:13:13,1.800,102.0,15.19
2026/08/25 14:13:13,1.820,103.0,15.27
2026/08/25 14:13:13,1.840,102.0,15.19
2026/08/25 14:13:13,1.860,103.0,15.27
2026/08/25 14:13:13,1.880,101.0,15.11
2026/08/25 14:13:13,1.900,102.0,15.19
2026/08/25 14:13:13,1.920,103.0,15.27
2026/08/25 14:13:13,1.940,101.0,15.11
2026/08/25 14:13:13,1.960,102.0,15.19
2026/08/25 14:13:13,1.980,102.0,15.19
2026/08/25 14:13:14,2.000,102.0,15.19
2026/08/25 14:13:14,2.020,102.0,15.19
2026/08/25 14:13:14,2.040,101.0,15.11
2026/08/25 14:13:14,2.060,102.0,15.19
2026/08/25 14:13:14,2.080,101.0,15.11
2026/08/25 14:13:14,2.100,102.0,15.19
2026/08/25 14:13:14,2.120,103.0,15.27
2026/08/25 14:13:14,2.140,102.0,15.19
2026/08/25 14:13:14,2.160,103.0,15.27
2026/08/25 14:13:14,2.180,103.0,15.27
2026/08/25 14:13:14,2.200,102.0,15.19
2026/08/25 14:13:14,2.220,102.0,15.19
2026/08/25 14:13:14,2.240,102.0,15.19
2026/08/25 14:13:14,2.260,102.0,15.19
2026/08/25 14:13:14,2.280,102.0,15.19
2026/08/25 14:13:14,2.300,102.0,15.19
2026/08/25 14:13:14,2.320,102.0,15.19
2026/08/25 14:13:14,2.340,102.0,15.19
2026/08/25 14:13:14,2.360,103.0,15.27
2026/08/25 14:13:14,2.380,101.0,15.11
2026/08/25 14:13:14,2.400,101.0,15.11
2026/08/25 14:13:14,2.420,102.0,15.19
2026/08/25 14:13:14,2.440,102.0,15.19
2026/08/25 14:13:14,2.460,101.0,15.11
2026/08/25 14:13:14,2.480,103.0,15.27
2026/08/25 14:13:14,2.500,103.0,15.27
2026/08/25 14:13:14,2.520,102.0,15.19
2026/08/25 14:13:14,2.540,102.0,15.19
2026/08/25 14:13:14,2.560,102.0,15.19
2026/08/25 14:13:14,2.580,102.0,15.19
2026/08/25 14:13:14,2.600,102.0,15.19
2026/08/25 14:13:14,2.620,102.0,15.19
2026/08/25 14:13:14,2.640,102.0,15.19
2026/08/25 14:13:14,2.660,102.0,15.19
2026/08/25 14:13:14,2.680,103.0,15.27
2026/08/25 14:13:14,2.700,103.0,15.27
2026/08/25 14:13:14,2.720,102.0,15.19
2026/08/25 14:13:14,2.740,102.0,15.19
2026/08/25 14:13:14,2.760,102.0,15.19
2026/08/25 14:13:14,2.780,101.0,15.11
2026/08/25 14:13:14,2.800,102.0,15.19
2026/08/25 14:13:14,2.820,102.0,15.19
2026/08/25 14:13:14,2.840,102.0,15.19
2026/08/25 14:13:14,2.860,102.0,15.19
2026/08/25 14:13:14,2.880,102.0,15.19
2026/08/25 14:13:14,2.900,103.0,15.27
2026/08/25 14:13:14,2.920,102.0,15.19
2026/08/25 14:13:14,2.940,101.0,15.11
2026/08/25 14:13:14,2.960,102.0,15.19
2026/08/25 14:13:14,2.980,102.0,15.19
2026/08/25 14:13:15,3.000,102.0,15.19
2026/08/25 14:13:15,3.020,102.0,15.19
2026/08/25 14:13:15,3.040,103.0,15.27
2026/08/25 14:13:15,3.060,103.0,15.27
2026/08/25 14:13:15,3.080,102.0,15.19
2026/08/25 14:13:15,3.100,102.0,15.19
2026/08/25 14:13:15,3.120,103.0,15.27
2026/08/25 14:13:15,3.140,102.0,15.19
2026/08/25 14:13:15,3.160,102.0,15.19
2026/08/25 14:13:15,3.180,103.0,15.27
2026/08/25 14:13:15,3.200,102.0,15.19
2026/08/25 14:13:15,3.220,102.0,15.19
2026/08/25 14:13:15,3.240,103.0,15.27
2026/08/25 14:13:15,3.260,103.0,15.27
2026/08/25 14:13:15,3.280,102.0,15.19
2026/08/25 14:13:15,3.300,102.0,15.19
2026/08/25 14:13:15,3.320,102.0,15.19
2026/08/25 14:13:15,3.340,102.0,15.19
2026/08/25 14:13:15,3.360,102.0,15.19
2026/08/25 14:13:15,3.380,102.0,15.19
2026/08/25 14:13:15,3.400,103.0,15.27
2026/08/25 14:13:15,3.420,102.0,15.19
2026/08/25 14:13:15,3.440,103.0,15.27
2026/08/25 14:13:15,3.460,103.0,15.27
2026/08/25 14:13:15,3.480,102.0,15.19
2026/08/25 14:13:15,3.500,102.0,15.19
2026/08/25 14:13:15,3.520,102.0,15.19
2026/08/25 14:13:15,3.540,102.0,15.19
2026/08/25 14:13:15,3.560,102.0,15.19
2026/08/25 14:13:15,3.580,102.0,15.19
2026/08/25 14:13:15,3.600,102.0,15.19
2026/08/25 14:13:15,3.620,101.0,15.11
2026/08/25 14:13:15,3.640,102.0,15.19
2026/08/25 14:13:15,3.660,103.0,15.27
2026/08/25 14:13:15,3.680,103.0,15.27
2026/08/25 14:13:15,3.700,102.0,15.19
2026/08/25 14:13:15,3.720,102.0,15.19
2026/08/25 14:13:15,3.740,103.0,15.27
2026/08/25 14:13:15,3.760,102.0,15.19
2026/08/25 14:13:15,3.780,102.0,15.19
2026/08/25 14:13:15,3.800,102.0,15.19
2026/08/25 14:13:15,3.820,102.0,15.19
2026/08/25 14:13:15,3.840,103.0,15.27
2026/08/25 14:13:15,3.860,102.0,15.19
2026/08/25 14:13:15,3.880,102.0,15.19
2026/08/25 14:13:15,3.900,102.0,15.19
2026/08/25 14:13:15,3.920,102.0,15.19
2026/08/25 14:13:15,3.940,102.0,15.19
2026/08/25 14:13:15,3.960,102.0,15.19
2026/08/25 14:13:15,3.980,103.0,15.27
2026/08/25 14:13:16,4.000,101.0,15.11
2026/08/25 14:13:16,4.020,102.0,15.19
2026/08/25 14:13:16,4.040,102.0,15.19
2026/08/25 14:13:16,4.060,102.0,15.19
2026/08/25 14:13:16,4.080,102.0,15.19
2026/08/25 14:13:16,4.100,102.0,15.19
2026/08/25 14:13:16,4.120,101.0,15.11
2026/08/25 14:13:16,4.140,103.0,15.27
2026/08/25 14:13:16,4.160,102.0,15.19
2026/08/25 14:13:16,4.180,102.0,15.19
2026/08/25 14:13:16,4.200,102.0,15.19
2026/08/25 14:13:16,4.220,103.0,15.27
2026/08/25 14:13:16,4.240,102.0,15.19
2026/08/25 14:13:16,4.260,101.0,15.11
2026/08/25 14:13:16,4.280,101.0,15.11
